CODE,TITLE,DATE
BW5,BLACK WIDOW VOL. 5 (THE THINGS THEY SAY ABOUT HER...),2005-2006
BW6,BLACK WIDOW VOL. 6,2010-2011
BW7,BLACK WIDOW VOL. 7,2014-2015
BW8,BLACK WIDOW VOL. 8,2016-2017
BW9,BLACK WIDOW VOL. 9,2019
BW:CW,BLACK WIDOW: COLDEST WAR,1990
BW:DO,BLACK WIDOW: DEADLY ORIGIN,2010
BWAYNE:AOS,BRUCE WAYNE: AGENT OF S.H.I.E.L.D.,1996
BWULF,BLACKWULF,1994-1995
C,CABLE,1993-2002
C2,CABLE VOL. 2,2008-2010
C4,CABLE VOL. 4,2017
C&DP,CABLE & DEADPOOL,2004-2008
C&NM,CABLE & NEW MUTANTS TPB,1992
C&XFOR,CABLE & X-FORCE,2013-2014
C/MM,CABLE/MACHINE MAN,1998
C:B&M,CABLE: BLOOD AND METAL,1992
CA,CAPTAIN AMERICA,"1968-1996, 2009-2011"
CA2,CAPTAIN AMERICA VOL. 2,1996-1997
CA3,CAPTAIN AMERICA VOL. 3,1998-2002
CA4,CAPTAIN AMERICA VOL. 4,2002-2004
CA5,CAPTAIN AMERICA VOL. 5,2004-2009
CA6,CAPTAIN AMERICA VOL. 6,2011-2012
CA7,CAPTAIN AMERICA VOL. 7,2013-2014
CA8,CAPTAIN AMERICA VOL. 8,2019-2021
CA65AS,CAPTAIN AMERICA 65TH ANNIVERSARY SPECIAL,2006
CA&BTRC,CAPTAIN AMERICA & BATROC,2011
CA&BUCKY,CAPTAIN AMERICA & BUCKY,2011-2012
CA&BW,CAPTAIN AMERICA & BLACK WIDOW,2012-2013
CA&CRB,CAPTAIN AMERICA & CROSSBONES,2011
CA&FAL,CAPTAIN AMERICA & FALCON,2004-2005
CA&FAL2,CAPTAIN AMERICA & FALCON VOL. 2,2011
CA&FIRST13,CAPTAIN AMERICA & THE FIRST THIRTEEN,2011
CA&HAWK,CAPTAIN AMERICA & HAWKEYE,2012
CA&IM,CAPTAIN AMERICA & IRON MAN,2012
CA&MA,CAPTAIN AMERICA & THE MIGHTY AVENGERS,2015
CA&N,CAPTAIN AMERICA & NAMOR,2012
CA&SECA,CAPTAIN AMERICA & SECRET AVENGERS,2011
CA/CV,CAPTAIN AMERICA/CITIZEN V,1998
CA/NF:BT,CAPTAIN AMERICA/NICK FURY: BLOOD TRUCE,1995
CA/NF:OWW,CAPTAIN AMERICA/NICK FURY: OTHER WORLD WAR,2001
CA:DC,CAPTAIN AMERICA: DIRECTORS CUT,2007
CA:DMR,CAPTAIN AMERICA: DEAD MEN RUNNING,2002
CA:DW,CAPTAIN AMERICA: DRUG WARS,1994
CA:FA,CAPTAIN AMERICA: FOREVER ALLIES,2010-2011
CA:LEGEND,CAPTAIN AMERICA: LEGEND,1996
CA:LL,CAPTAIN AMERICA: LIVING LEGEND,2013
CA:ME,CAPTAIN AMERICA: MEDUSA EFFECT,1994
CA:MOOT,CAPTAIN AMERICA: MAN OUT OF TIME,2010-2011
CA:P,CAPTAIN AMERICA: PATRIOT,2010-2011
CA:REBORN,CAPTAIN AMERICA: REBORN,2009-2010
CA:REBORN HC,CAPTAIN AMERICA: REBORN PREMIERE HC,2010
CA:RW&B,CAPTAIN AMERICA: RED WHITE & BLUE TPB,2002
CA:SL,CAPTAIN AMERICA: SENTINEL OF LIBERTY,1998-1999
CA:WHITE,CAPTAIN AMERICA: WHITE,2015-2016
CA:WHO,CAPTAIN AMERICA: WHO WILL WIELD THE SHIELD?,2010
CA:WPG,CAPTAIN AMERICA: WHAT PRICE GLORY,2003
CABB,CAPTAIN AMERICA'S BICENTENNIAL BATTLES (TREASURY),1976
CAC,CAPTAIN AMERICA COMICS,1941-1954
CAC70A,CAPTAIN AMERICA COMICS 70TH ANNIVERSARY SPECIAL,2009
CACORPS,CAPTAIN AMERICA CORPS,2011
CAD,CLOAK AND DAGGER,1983-1984
CAD2,CLOAK AND DAGGER VOL. 2,1985-1987
CAD3,CLOAK AND DAGGER VOL. 3,1990-1991
CAD4,CLOAK AND DAGGER VOL. 4,2010
CAGE,CAGE,1992-1993
CAGE2,CAGE!,2016-2017
CALL,CALL,2003
CALLD:BHOOD,CALL OF DUTY: BROTHERHOOD,2002-2003
CALLD:PRCNT,CALL OF DUTY: PRECINCT,2002-2003
CALLD:WAGON,CALL OF DUTY: WAGON,2002-2003
CAP,CAP,2001
CASR,CAPTAIN AMERICA: STEVE ROGERS,2016-2017
CASW,CAPTAIN AMERICA: SAM WILSON,2015-2017
CAT,CAT,1972
CAT-MANC,CAT-MAN COMICS,1941-1946
CATOW:AF,CAPTAIN AMERICA THEATER OF WAR: AMERICA FIRST!,2009
